temp, avelx, avely, avelz
-4.057143, -0.417391, 1.321739, 1.530435
-4.000000, -0.417391, 1.321739, 1.600000
-3.828571, -0.417391, 1.321739, 1.600000
-3.803571, -0.486957, 1.321739, 1.530435
-3.789286, -0.417391, 1.391304, 1.530435
-3.717857, -0.417391, 1.321739, 1.530435
-3.607143, -0.417391, 1.321739, 1.600000
-3.532143, -0.417391, 1.391304, 1.530435
-3.439286, -0.417391, 1.321739, 1.530435
-3.350000, -0.417391, 1.321739, 1.530435
-3.300000, -0.417391, 1.391304, 1.530435
-3.182143, -0.417391, 1.391304, 1.530435
-3.053571, -0.417391, 1.391304, 1.530435
-2.892857, -0.417391, 1.391304, 1.530435
-2.600000, -0.417391, 1.391304, 1.600000
-2.500000, -0.486957, 1.391304, 1.530435
-2.514286, -0.417391, 1.391304, 1.600000
-2.453571, -0.347826, 1.391304, 1.530435
-2.403571, -0.347826, 1.391304, 1.530435
-2.400000, -0.417391, 1.391304, 1.530435
-2.321429, -0.417391, 1.391304, 1.530435
-2.278571, -0.486957, 1.460870, 1.530435
-2.228571, -0.486957, 1.391304, 1.530435
-2.203571, -0.417391, 1.460870, 1.530435
-2.035714, -0.417391, 1.460870, 1.530435
-1.992857, -0.417391, 1.391304, 1.530435
-1.975000, -0.417391, 1.391304, 1.460870
-1.971429, -0.417391, 1.391304, 1.530435
-1.942857, -0.417391, 1.460870, 1.530435
-1.889286, -0.417391, 1.460870, 1.530435
-1.700000, -0.347826, 1.460870, 1.460870
-1.639286, -0.347826, 1.460870, 1.530435
-1.578571, -0.417391, 1.460870, 1.530435
-1.557143, -0.417391, 1.460870, 1.460870
-1.525000, -0.417391, 1.460870, 1.530435
-1.485714, -0.417391, 1.460870, 1.530435
-1.432143, -0.417391, 1.460870, 1.460870
-1.364286, -0.417391, 1.460870, 1.460870
-1.282143, -0.417391, 1.460870, 1.460870
-1.185714, -0.417391, 1.460870, 1.530435
-1.071429, -0.417391, 1.460870, 1.460870
-1.060714, -0.347826, 1.460870, 1.530435
-1.060714, -0.417391, 1.460870, 1.460870
-1.053571, -0.347826, 1.460870, 1.530435
-0.957143, -0.347826, 1.460870, 1.530435
-0.860714, -0.417391, 1.460870, 1.460870
-0.728571, -0.347826, 1.460870, 1.460870
-0.703571, -0.417391, 1.460870, 1.530435
-0.653571, -0.347826, 1.530435, 1.460870
-0.628571, -0.417391, 1.530435, 1.460870
-0.603571, -0.417391, 1.530435, 1.530435
-0.567857, -0.417391, 1.530435, 1.460870
-0.489286, -0.347826, 1.530435, 1.530435
-0.425000, -0.347826, 1.530435, 1.530435
-0.339286, -0.417391, 1.530435, 1.460870
-0.285714, -0.417391, 1.530435, 1.460870
-0.146429, -0.347826, 1.530435, 1.460870
-0.146429, -0.347826, 1.530435, 1.460870
-0.146429, -0.347826, 1.530435, 1.460870
-0.135714, -0.347826, 1.530435, 1.460870
-0.103571, -0.347826, 1.530435, 1.460870
-0.003571, -0.347826, 1.530435, 1.460870
0.121429, -0.347826, 1.600000, 1.460870
0.167857, -0.347826, 1.530435, 1.460870
0.232143, -0.347826, 1.530435, 1.460870
0.253571, -0.347826, 1.530435, 1.460870
0.278571, -0.347826, 1.600000, 1.460870
0.303571, -0.347826, 1.600000, 1.460870
0.335714, -0.347826, 1.600000, 1.460870
0.417857, -0.347826, 1.600000, 1.460870
0.467857, -0.347826, 1.530435, 1.460870
0.542857, -0.347826, 1.530435, 1.460870
0.610714, -0.347826, 1.600000, 1.460870
0.739286, -0.417391, 1.600000, 1.460870
0.757143, -0.347826, 1.530435, 1.460870
0.764286, -0.347826, 1.600000, 1.530435
0.771429, -0.347826, 1.600000, 1.460870
0.789286, -0.347826, 1.600000, 1.460870
0.814286, -0.347826, 1.600000, 1.460870
0.903571, -0.347826, 1.600000, 1.460870
1.021429, -0.347826, 1.600000, 1.460870
1.092857, -0.347826, 1.600000, 1.460870
1.128571, -0.347826, 1.600000, 1.460870
1.171429, -0.347826, 1.600000, 1.460870
